k[1/A]	HH	LH	SO
0.0	(0.010964387333316445-0j)	(-0.04113855654776989+0j)	(-0.18387082901052118+0j)
0.00101010101010101	(0.01093531322599715-0j)	(-0.04116424820502815+0j)	(-0.1838856505147444+0j)
0.00202020202020202	(0.010848152563875443-0j)	(-0.04124137707625847+0j)	(-0.1839301227877948+0j)
0.0030303030303030303	(0.010703090384888097-0j)	(-0.04137010487868899+0j)	(-0.1840042691503809+0j)
0.00404040404040404	(0.010500435271030575-0j)	(-0.041550701194255184+0j)	(-0.1841081286025628+0j)
0.00505050505050505	(0.010240619593774007-0j)	(-0.041783543515557575+0j)	(-0.18424175602321094+0j)
0.006060606060606061	(0.00992419979187169-0j)	(-0.04206911724212951+0j)	(-0.18440522245154517+0j)
0.007070707070707071	(0.009551856615133183-0j)	(-0.042408015558270555+0j)	(-0.18459861545307613+0j)
0.00808080808080808	(0.009124395248037192-0j)	(-0.04280093910328788+0j)	(-0.18482203957297483+0j)
0.00909090909090909	(0.008642745207147539-0j)	(-0.043248695324343854+0j)	(-0.18507561688064264+0j)
0.0101010101010101	(0.008107959886531773-0j)	(-0.0437521973815707+0j)	(-0.18535948761001506+0j)
0.011111111111111112	(0.0075212156063510045-0j)	(-0.04431246245525621+0j)	(-0.18567381090096555+0j)
0.012121212121212121	(0.006883810002359232-0j)	(-0.044930609286602446+0j)	(-0.18601876564804581+0j)
0.013131313131313131	(0.006197159579408833-0j)	(-0.045607854767975284+0j)	(-0.1863945514637423+0j)
0.014141414141414142	(0.005462796241710944-0j)	(-0.04634550938720679+0j)	(-0.18680138976443442+0j)
0.015151515151515152	(0.0046823626083543355-0j)	(-0.047144971325174596+0j)	(-0.187239524988333+0j)
0.01616161616161616	(0.0038576059264835228-0j)	(-0.048007719008604614+0j)	(-0.1877092259558567+0j)
0.01717171717171717	(0.0029903704087165094-0j)	(-0.048935301932942925+0j)	(-0.18821078738417768+0j)
0.01818181818181818	(0.0020825878478902176-0j)	(-0.049929329595269925+0j)	(-0.18874453156905208+0j)
0.01919191919191919	(0.0011362664027346067-0j)	(-0.050991458416249726+0j)	(-0.1893108102485461+0j)
0.0202020202020202	(0.00015347750357137187-0j)	(-0.052123376583981+0j)	(-0.18991000666488234+0j)
0.021212121212121213	(-0.0008636591024856508+0j)	(-0.05332678682126558+0j)	(-0.19054253784237335+0j)
0.022222222222222223	(-0.0019129920636005748+0j)	(-0.05460338715968613+0j)	(-0.19120885710127197+0j)
0.023232323232323233	(-0.002992356695433795+0j)	(-0.05595484989579547+0j)	(-0.19190945682936505+0j)
0.024242424242424242	(-0.0040995945173903986+0j)	(-0.05738279900160331+0j)	(-0.1926448715352377+0j)
0.025252525252525252	(-0.005232573659426741+0j)	(-0.05888878635669562+0j)	(-0.19341568120934835+0j)
0.026262626262626262	(-0.006389209658256618+0j)	(-0.06047426725472061+0j)	(-0.19422251502133386+0j)
0.02727272727272727	(-0.007567486092363293+0j)	(-0.062140575704096805+0j)	(-0.19506605538429322+0j)
0.028282828282828285	(-0.008765474462188857+0j)	(-0.06388890008353157+0j)	(-0.19594704241907637+0j)
0.029292929292929294	(-0.00998135271183811+0j)	(-0.06572025972079155+0j)	(-0.19686627885381253+0j)
0.030303030303030304	(-0.011213421815555609+0j)	(-0.06763548293426658+0j)	(-0.19782463539586675+0j)
0.031313131313131314	(-0.012460119916601634+0j)	(-0.06963518701091763+0j)	(-0.19882305661501815+0j)
0.03232323232323232	(-0.013720033604595835+0j)	(-0.07171976049473452+0j)	(-0.19986256737765687+0j)
0.03333333333333333	(-0.014991906042872436+0j)	(-0.07388934803420363+0j)	(-0.20094427987196264+0j)
0.03434343434343434	(-0.016274641799931062+0j)	(-0.0761438378957847+0j)	(-0.20206940126297623+0j)
0.03535353535353535	(-0.017567308387011076+0j)	(-0.07848285210515996+0j)	(-0.20323924201377583+0j)
0.03636363636363636	(-0.018869134645285387+0j)	(-0.08090573904148464+0j)	(-0.2044552249040332+0j)
0.03737373737373737	(-0.02017950625052413+0j)	(-0.08341156819339803+0j)	(-0.2057188947693391+0j)
0.03838383838383838	(-0.021497958702129+0j)	(-0.08599912669822639+0j)	(-0.2070319289729653+0j)
0.03939393939393939	(-0.022824168232179785+0j)	(-0.08866691723370758+0j)	(-0.20839614860509448+0j)
0.0404040404040404	(-0.024157941106968207+0j)	(-0.09141315681756902+0j)	(-0.20981353038170739+0j)
0.04141414141414142	(-0.02549920179994948+0j)	(-0.09423577609438827+0j)	(-0.2112862191847711+0j)
0.04242424242424243	(-0.026847980495122683+0j)	(-0.09713241874902928+0j)	(-0.2128165411454227+0j)
0.043434343434343436	(-0.02820440033917048+0j)	(-0.10010044077783413+0j)	(-0.2144070171206375+0j)
0.044444444444444446	(-0.029568664805589034+0j)	(-0.10313690946821637+0j)	(-0.21606037634950567+0j)
0.045454545454545456	(-0.030941045470773147+0j)	(-0.10623860207986507+0j)	(-0.2177795699959436+0j)
0.046464646464646465	(-0.03232187043618629+0j)	(-0.10940200438222278+0j)	(-0.21956778418904488+0j)
0.047474747474747475	(-0.033711513566871645+0j)	(-0.11262330937929524+0j)	(-0.22142845205976094+0j)
0.048484848484848485	(-0.03511038465798401+0j)	(-0.11589841674006487+0j)	(-0.22336526414395436+0j)
0.049494949494949494	(-0.0365189205898757+0j)	(-0.11922293364580933+0j)	(-0.22538217637999525+0j)
0.050505050505050504	(-0.03793757748963282+0j)	(-0.12259217795751849+0j)	(-0.2274834147798075+0j)
0.051515151515151514	(-0.03936682388304493+0j)	(-0.12600118478728223+0j)	(-0.22967347570551191+0j)
0.052525252525252523	(-0.040807134795408435+0j)	(-0.12944471771257682+0j)	(-0.23195712055433554+0j)
0.05353535353535353	(-0.04225898674146843+0j)	(-0.13291728598217664+0j)	(-0.23433936356275908+0j)
0.05454545454545454	(-0.043722853533166+0j)	(-0.1364131691018499+0j)	(-0.23682545141307323+0j)
0.05555555555555555	(-0.0451992028275233+0j)	(-0.13992645012737512+0j)	(-0.2394208333924771+0j)
0.05656565656565657	(-0.04668849333486965+0j)	(-0.1434510588000883+0j)	(-0.24213112104930573+0j)
0.05757575757575758	(-0.04819117260865645+0j)	(-0.14698082530716983+0j)	(-0.2449620366429271+0j)
0.05858585858585859	(-0.04970767534143554+0j)	(-0.15050954491594906+0j)	(-0.24791935021345976+0j)
0.0595959595959596	(-0.05123842209644078+0j)	(-0.15403105301760103+0j)	(-0.2510088058064954+0j)
0.06060606060606061	(-0.052783818410002+0j)	(-0.15753930924707368+0j)	(-0.2542360382507564+0j)
0.06161616161616162	(-0.054344254206276074+0j)	(-0.1610284883832791+0j)	(-0.25760648284317245+0j)
0.06262626262626263	(-0.05592010347213778+0j)	(-0.16449307477276046+0j)	(-0.2611252812503274+0j)
0.06363636363636363	(-0.05751172414628365+0j)	(-0.16792795618648332+0j)	(-0.26479718776255756+0j)
0.06464646464646465	(-0.059119458182505115+0j)	(-0.1713285124511801+0j)	(-0.26862648059934024+0j)
0.06565656565656566	(-0.06074363175254641+0j)	(-0.1746906940191076+0j)	(-0.27261688313667387+0j)
0.06666666666666667	(-0.06238455555895741+0j)	(-0.17801108593677492+0j)	(-0.2767714996254996+0j)
0.06767676767676768	(-0.06404252523281882+0j)	(-0.18128695346025034+0j)	(-0.28109276917866827+0j)
0.06868686868686869	(-0.06571782179519566+0j)	(-0.1845162667775258+0j)	(-0.2855824405871233+0j)
0.0696969696969697	(-0.0674107121646545+0j)	(-0.1876977037968909+0j)	(-0.29024156902400783+0j)
0.0707070707070707	(-0.06912144969621743+0j)	(-0.19083063155273605+0j)	(-0.29507053409991+0j)
0.07171717171717172	(-0.07085027473973751+0j)	(-0.19391506826114932+0j)	(-0.30006907724888887+0j)
0.07272727272727272	(-0.07259741520792386+0j)	(-0.19695162924847093+0j)	(-0.30523635523189424+0j)
0.07373737373737374	(-0.07436308714615138+0j)	(-0.19994146075706315+0j)	(-0.3105710057611898+0j)
0.07474747474747474	(-0.0761474952977969+0j)	(-0.20288616595964507+0j)	(-0.3160712209206788+0j)
0.07575757575757576	(-0.07795083366020404+0j)	(-0.20578772741497967+0j)	(-0.32173482415425514+0j)
0.07676767676767676	(-0.07977328602750541+0j)	(-0.20864842975699432+0j)	(-0.327559347033859+0j)
0.07777777777777778	(-0.08161502651746694+0j)	(-0.21147078574011893+0j)	(-0.33354210268729406+0j)
0.07878787878787878	(-0.08347622008030346+0j)	(-0.21425746798389084+0j)	(-0.339680253544809+0j)
0.0797979797979798	(-0.08535702298803212+0j)	(-0.2170112479729651+0j)	(-0.34597087184973063+0j)
0.0808080808080808	(-0.08725758330346839+0j)	(-0.219734943151493+0j)	(-0.35241099209509275+0j)
0.08181818181818182	(-0.0891780413283602+0j)	(-0.22243137235063565+0j)	(-0.3589976551479863+0j)
0.08282828282828283	(-0.09111853003051229+0j)	(-0.2251033193251107+0j)	(-0.3657279442858887+0j)
0.08383838383838384	(-0.09307917545000027+0j)	(-0.22775350384855242+0j)	(-0.3725990136950895+0j)
0.08484848484848485	(-0.095060097084786+0j)	(-0.23038455961379203+0j)	(-0.3796081101847966+0j)
0.08585858585858586	(-0.09706140825619795+0j)	(-0.23299901808138582+0j)	(-0.38675258897312487+0j)
0.08686868686868687	(-0.09908321645486785+0j)	(-0.23559929739408786+0j)	(-0.39402992442668844+0j)
0.08787878787878788	(-0.10112562366778627+0j)	(-0.2381876955039732+0j)	(-0.4014377166064225+0j)
0.08888888888888889	(-0.10318872668721317+0j)	(-0.24076638672319423+0j)	(-0.40897369440791276+0j)
0.0898989898989899	(-0.10527261740220734+0j)	(-0.24333742099342037+0j)	(-0.41663571600043353+0j)
0.09090909090909091	(-0.10737738307356487+0j)	(-0.2459027252613066+0j)	(-0.42442176717653207+0j)
0.09191919191919191	(-0.1095031065929623+0j)	(-0.24846410643980865+0j)	(-0.4323299581315761+0j)
0.09292929292929293	(-0.11164986672710034+0j)	(-0.2510232555225331+0j)	(-0.44035851910525864+0j)
0.09393939393939393	(-0.11381773834762468+0j)	(-0.2535817524976315+0j)	(-0.4485057952377828+0j)
0.09494949494949495	(-0.11600679264759385+0j)	(-0.2561410717775219+0j)	(-0.45677024092367174+0j)
0.09595959595959595	(-0.1182170973452301+0j)	(-0.25870258792067347+0j)	(-0.4651504138862335+0j)
0.09696969696969697	(-0.12044871687567538+0j)	(-0.2612675814721615+0j)	(-0.4736449691452523+0j)
0.09797979797979799	(-0.12270171257143304+0j)	(-0.2638372447914784+0j)	(-0.48225265300873094+0j)
0.09898989898989899	(-0.1249761428321575+0j)	(-0.2664126877701529+0j)	(-0.490972297185486+0j)
0.1	(-0.12727206328441965+0j)	(-0.26899494336913105+0j)	(-0.49980281308800284+0j)
