k[1/A]	HH	LH	SO
0.0	(-0.5293270981788869+0j)	(-0.0521714961941348+0j)	(0.09977421933970783-0j)
0.00101010101010101	(0.09970982156540154-0j)	(-0.5293459598016745+0j)	(-0.05223121315291441+0j)
0.00202020202020202	(0.09951681359852495-0j)	(-0.529402554591702+0j)	(-0.05241053946363143+0j)
0.0030303030303030303	(0.0991957515963271-0j)	(-0.5294969123636101+0j)	(-0.052710001468893236+0j)
0.00404040404040404	(0.09874756275407687-0j)	(-0.5296290829744061+0j)	(-0.053130476506962135+0j)
0.00505050505050505	(0.09817354559775653-0j)	(-0.5297991365739075+0j)	(-0.053673192954002524+0j)
0.006060606060606061	(0.09747537017924317-0j)	(-0.5300071639584713+0j)	(-0.054339730065535184+0j)
0.007070707070707071	(0.09665507795866782-0j)	(-0.5302532770311484+0j)	(-0.05513201739863922+0j)
0.00808080808080808	(0.09571508109678997-0j)	(-0.5305376093723998+0j)	(-0.05605233353361416+0j)
0.00909090909090909	(0.09465816081931043-0j)	(-0.5308603169265103+0j)	(-0.05710330375187498+0j)
0.0101010101010101	(0.09348746445662137-0j)	(-0.5312215788099635+0j)	(-0.058287896267331184+0j)
0.011111111111111112	(0.09220650070887625-0j)	(-0.5316215982491932+0j)	(-0.05960941655370179+0j)
0.012121212121212121	(0.09081913264066183-0j)	(-0.5320606036564433+0j)	(-0.06107149926332998+0j)
0.013131313131313131	(0.08932956787606611-0j)	(-0.5325388498538475+0j)	(-0.06267809719816975+0j)
0.014141414141414142	(0.08774234544855289-0j)	(-0.5330566194574122+0j)	(-0.06443346677567864+0j)
0.015151515151515152	(0.08606231876639649-0j)	(-0.5336142244342895+0j)	(-0.06634214943697947+0j)
0.01616161616161616	(0.08429463418949486-0j)	(-0.534212007848642+0j)	(-0.06840894847780692+0j)
0.01717171717171717	(0.08244470478292613-0j)	(-0.5348503458135466+0j)	(-0.0706389008501616+0j)
0.01818181818181818	(0.08051817892145376-0j)	(-0.5355296496687658+0j)	(-0.07303724358904591+0j)
0.01919191919191919	(0.07852090357028688-0j)	(-0.5362503684069172+0j)	(-0.07560937466705041+0j)
0.0202020202020202	(0.07645888226081213-0j)	(-0.5370129913736262+0j)	(-0.07836080826993738+0j)
0.021212121212121213	(0.07433822801190912-0j)	(-0.5378180512706615+0j)	(-0.08129712471481604+0j)
0.022222222222222223	(0.07216511170935654-0j)	(-0.5386661274949859+0j)	(-0.08442391549050372+0j)
0.023232323232323233	(0.06994570673413192-0j)	(-0.539557849851043+0j)	(-0.08774672417353348+0j)
0.024242424242424242	(0.06768613090679715-0j)	(-0.5404939026786727+0j)	(-0.09127098424462787+0j)
0.025252525252525252	(0.06539238706753235-0j)	(-0.5414750294447518+0j)	(-0.0950019550770905+0j)
0.026262626262626262	(0.06307030381590088-0j)	(-0.5425020378532035+0j)	(-0.09894465756656033+0j)
0.02727272727272727	(0.060725478068060536-0j)	(-0.5435758055354752+0j)	(-0.10310381099774868+0j)
0.028282828282828285	(0.05836322113284715-0j)	(-0.544697286392086+0j)	(-0.10748377277897203+0j)
0.029292929292929294	(0.05598850994980768-0j)	(-0.5458675176655768+0j)	(-0.11208848260723667+0j)
0.030303030303030304	(0.05360594496912367-0j)	(-0.547087627836301+0j)	(-0.11692141245237048+0j)
0.031313131313131314	(0.051219715893250334-0j)	(-0.5483588454451797+0j)	(-0.12198552347590767+0j)
0.03232323232323232	(0.048833576161125214-0j)	(-0.5496825089620259+0j)	(-0.12728323064697267+0j)
0.03333333333333333	(0.04645082666449155-0j)	(-0.5510600778345809+0j)	(-0.13281637540956745+0j)
0.03434343434343434	(0.04407430877397572-0j)	(-0.5524931448722099+0j)	(-0.13858620632495322+0j)
0.03535353535353535	(0.04170640635299563-0j)	(-0.55398345013961+0j)	(-0.14459336719185098+0j)
0.03636363636363636	(0.03934905608050335-0j)	(-0.5555328965601334+0j)	(-0.15083789176586043+0j)
0.03737373737373737	(0.03700376511285429-0j)	(-0.557143567455717+0j)	(-0.1573192038814001+0j)
0.03838383838383838	(0.03467163490617369-0j)	(-0.5588177462811753+0j)	(-0.16403612153978078+0j)
0.03939393939393939	(0.032353389899542485-0j)	(-0.5605579388449634+0j)	(-0.17098686337162836+0j)
0.0404040404040404	(0.03004940972349279-0j)	(-0.5623668983464953+0j)	(-0.17816905580806058+0j)
0.04141414141414142	(0.027759763637881338-0j)	(-0.5642476536016255+0j)	(-0.1855797392930798+0j)
0.04242424242424243	(0.025484246003534713-0j)	(-0.5662035408725457+0j)	(0.025484246003534643-0j)
0.043434343434343436	(0.023222411736013596-0j)	(-0.5682382397652461+0j)	(0.023222411736013575-0j)
0.044444444444444446	(0.020973610860137683-0j)	(-0.5703558137053588+0j)	(-0.20914439715936894+0j)
0.045454545454545456	(0.018737021464743545-0j)	(-0.5725607555490888+0j)	(-0.21742776159299487+0j)
0.046464646464646465	(0.016511680535429188-0j)	(-0.57485803892624+0j)	(-0.22591598567102592+0j)
0.047474747474747475	(0.014296512308875317-0j)	(-0.577253175941245+0j)	(0.014296512308875296-0j)
0.048484848484848485	(0.012090353939128138-0j)	(-0.5797522818670942+0j)	(0.012090353939128187-0j)
0.049494949494949494	(0.009891978390351273-0j)	(-0.582362147444156+0j)	(-0.2525404364320062+0j)
0.050505050505050504	(0.007700114570836085-0j)	(-0.5850903193240602+0j)	(0.007700114570836218-0j)
0.051515151515151514	(0.00551346480020237-0j)	(-0.5879451890550514+0j)	(0.00551346480020241-0j)
0.052525252525252523	(0.0033307197576707293-0j)	(-0.5909360907584194+0j)	(0.0033307197576707623-0j)
0.05353535353535353	(0.0011505710967717761-0j)	(-0.5940734072553461+0j)	(0.0011505710967721398-0j)
0.05454545454545454	(-0.0010282780661098783+0j)	(-0.5973686838184914+0j)	(-0.0010282780661099618+0j)
0.05555555555555555	(-0.0032071045723093923+0j)	(-0.6008347478808354+0j)	(-0.3101859990977885+0j)
0.05656565656565657	(-0.005387158333422842+0j)	(-0.005387158333422885+0j)	(-0.6044858318646261+0j)
0.05757575757575758	(-0.007569656925562743+0j)	(-0.6083376947221866+0j)	(-0.6083376947221862+0j)
0.05858585858585859	(-0.009755781466830869+0j)	(-0.6124077357443239+0j)	(-0.6124077357443239+0j)
0.0595959595959596	(-0.01194667359435439+0j)	(-0.011946673594354341+0j)	(-0.6167150916608823+0j)
0.06060606060606061	(-0.014143433373776089+0j)	(-0.6212807050710712+0j)	(-0.6212807050710715+0j)
0.06161616161616162	(-0.016347117991273898+0j)	(-0.6261273489600419+0j)	(-0.37126492828763796+0j)
0.06262626262626263	(-0.018558741095228263+0j)	(-0.631279588832152+0j)	(-0.38148715708402586+0j)
0.06363636363636363	(-0.020779272671020668+0j)	(-0.6367636614256499+0j)	(-0.3916545973989343+0j)
0.06464646464646465	(-0.02300963934777922+0j)	(-0.6426072479731483+0j)	(-0.6426072479731486+0j)
0.06565656565656566	(-0.02525072504996979+0j)	(-0.6488391217157289+0j)	(-0.41170963183354653+0j)
0.06666666666666667	(-0.02750337191947654+0j)	(-0.655488655160705+0j)	(-0.4215373541385046+0j)
0.06767676767676768	(-0.02976838144519276+0j)	(-0.6625851834604053+0j)	(-0.431191671644276+0j)
0.06868686868686869	(-0.03204651574719132+0j)	(-0.6701572365821585+0j)	(-0.44064329226345944+0j)
0.0696969696969697	(-0.03433849897133667+0j)	(-0.6782316735464+0j)	(-0.6782316735463999+0j)
0.0707070707070707	(-0.03664501875782346+0j)	(-0.6868327739933304+0j)	(-0.45883072606276654+0j)
0.07171717171717172	(-0.03896672775369725+0j)	(-0.6959813610052952+0j)	(-0.46752009623310514+0j)
0.07272727272727272	(-0.04130424514502416+0j)	(-0.7056940389522613+0j)	(-0.47591551978473506+0j)
0.07373737373737374	(-0.04365815818915179+0j)	(-0.7159826265707676+0j)	(-0.48400459072377217+0j)
0.07474747474747474	(-0.046029023731531934+0j)	(-0.7268538469012706+0j)	(-0.7268538469012698+0j)
0.07575757575757576	(-0.04841736969496156+0j)	(-0.7383093046713691+0j)	(-0.4992397024559447+0j)
0.07676767676767676	(-0.05082369653192433+0j)	(-0.7503457446879973+0j)	(-0.5063863653392661+0j)
0.07777777777777778	(-0.053248478633060495+0j)	(-0.7629555501311878+0j)	(-0.5132271602436+0j)
0.07878787878787878	(-0.05569216568672747+0j)	(-0.5197729437909119+0j)	(-0.5197729437909119+0j)
0.0797979797979798	(-0.058155183986199184+0j)	(-0.5260375167481951+0j)	(-0.5260375167481952+0j)
0.0808080808080808	(-0.06063793768234572+0j)	(-0.5320368321500505+0j)	(-0.5320368321500506+0j)
0.08181818181818182	(-0.06314080998066823+0j)	(-0.537788243461845+0j)	(-0.8188631924774461+0j)
0.08282828282828283	(-0.06566416428240618+0j)	(-0.5433098363710677+0j)	(-0.5433098363710672+0j)
0.08383838383838384	(-0.06820834527008605+0j)	(-0.5486198687487523+0j)	(-0.5486198687487526+0j)
0.08484848484848485	(-0.0707736799383936+0j)	(-0.553736326839838+0j)	(-0.8660555352991567+0j)
0.08585858585858586	(-0.07336047857165041+0j)	(-0.558676593488614+0j)	(-0.8826914741597593+0j)
0.08686868686868687	(-0.07596903566946372+0j)	(-0.563457216456164+0j)	(-0.89975125094878+0j)
0.08787878787878788	(-0.07859963082233454+0j)	(-0.5680937610316069+0j)	(-0.9172190207865983+0j)
0.08888888888888889	(-0.08125252953916069+0j)	(-0.5726007301852+0j)	(-0.935080015194059+0j)
0.0898989898989899	(-0.0839279840286558+0j)	(-0.5769915364389421+0j)	(-0.5769915364389426+0j)
0.09090909090909091	(-0.08662623393676844+0j)	(-0.5812785115852269+0j)	(-0.5812785115852277+0j)
0.09191919191919191	(-0.08934750704219416+0j)	(-0.5854729427441087+0j)	(-0.9908911282362357+0j)
0.09292929292929293	(-0.0920920199120644+0j)	(-0.589585125613941+0j)	(-0.5895851256139404+0j)
0.09393939393939393	(-0.09485997851987141+0j)	(-0.5936244279137933+0j)	(-0.5936244279137937+0j)
0.09494949494949495	(-0.09765157882763326+0j)	(-0.09765157882763308-3.086812627247813e-32j)	(-0.5975993578386396-1.05748234765316e-16j)
0.09595959595959595	(-0.1004670073342532+0j)	(-0.1004670073342531+0j)	(-0.6015176338278163+0j)
0.09696969696969697	(-0.10330644159194967+0j)	(-0.6053862531057846+0j)	(-0.6053862531057846+0j)
0.09797979797979799	(-0.10617005069257024+0j)	(-0.10617005069257021+0j)	(-0.6092115573345287+0j)
0.09898989898989899	(-1.1328120067496752+0j)	(-0.6129992943681072+0j)	(-1.132812006749677+0j)
0.1	(-1.1543105331722943+0j)	(-0.6167546755691617+0j)	(-0.1119704302089458+0j)
